sample  condition   condition2	batch    platform    purity
m18_bc01    male    imago	batch1          NANOPORE    1
m18_bc02    male    imago	batch1          NANOPORE    1
m18_bc03    female  imago	batch1          NANOPORE    1
m18_bc04    female  imago	batch1          NANOPORE    1
m18_bc05    female  imago	batch1          NANOPORE    1
m18_bc06    male    imago	batch1          NANOPORE    1
ma_bc07     male    imago	batch2          NANOPORE    1
ma_bc08     male    imago	batch2          NANOPORE    1
ma_bc09     female  imago	batch2          NANOPORE    1
#ma_bc10     male    condition2	batch2          NANOPORE    1
#ma_bc11     male    condition2	batch2          NANOPORE    1
#ma_bc12     female  condition2	batch2          NANOPORE    1
#m18_bc10	male    larval  batch3  NANOPORE    1
#m18_bc11    female  larval  batch3  NANOPORE    1
#m18_bc12    male    larval  batch3  NANOPORE    1
#m18_bc13    female  larval  batch3  NANOPORE    1
#m18_bc14    female  larval  batch3  NANOPORE    1 
#m18_bc15    unkown  embryo  batch3  NANOPORE    1
#m18_bc16    male    larval  batch3  NANOPORE    1
#m18_bc17    unkown  embryo  batch3  NANOPORE    1
